 origin=CPU_Speed, start=2015-09-21T12:05:34.086Z, stop=2015-09-21T12:05:34.086Z, data=0
 origin=CPU_Speed, start=2015-09-21T12:05:35.086Z, stop=2015-09-21T12:05:35.087Z, data=0
 origin=CPU_Speed, start=2015-09-21T12:05:36.089Z, stop=2015-09-21T12:05:36.089Z, data=0
 origin=CPU_Speed, start=2015-09-21T12:41:59.233Z, stop=2015-09-21T12:41:59.234Z, data=0
 origin=CPU_Speed, start=2015-09-21T12:42:00.235Z, stop=2015-09-21T12:42:00.236Z, data=0
 origin=CPU_Speed, start=2015-09-21T12:42:01.236Z, stop=2015-09-21T12:42:01.237Z, data=0
 origin=CPU_Speed, start=2015-09-21T12:42:02.238Z, stop=2015-09-21T12:42:02.238Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:44:30.840Z, stop=2015-09-21T15:44:30.840Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:44:31.840Z, stop=2015-09-21T15:44:31.841Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:44:32.843Z, stop=2015-09-21T15:44:32.843Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:44:33.845Z, stop=2015-09-21T15:44:33.846Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:44:34.848Z, stop=2015-09-21T15:44:34.848Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:44:35.848Z, stop=2015-09-21T15:44:35.848Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:44:36.849Z, stop=2015-09-21T15:44:36.849Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:45:52.827Z, stop=2015-09-21T15:45:52.828Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:45:53.829Z, stop=2015-09-21T15:45:53.829Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:49:46.294Z, stop=2015-09-21T15:49:46.294Z, data=0
 origin=CPU_Speed, start=2015-09-21T15:50:30.872Z, stop=2015-09-21T15:50:30.873Z, data=0
